1,Озимый ячмень зерно,25,11,30,5.6
2,Озимая пшеница зерно,41,13,25,5.6
3,Озимая рожь зерно,25,12,26,5.1
4,Вика озимая зерно,53,14,38,5.6
5,Озимое тритикале зерно,30,13,25,5.6
6,Озимый рапс зерно,50,20,45,5.6
7,Яровая пшеница зерно,35,12,25,5.6
8,Яровой ячмень зерно,26,11,26,5.6
9,Овес зерно,26,12,29,5.1
10,Вика яровая зерно,52,18,38,5.1
11,Яровой рапс зерно,55,25,50,5.6
12,Кукуруза зерно,25,9,20,5.8
13,Кукуруза силос зеленая масса,4,2,4,5.8
14,Кормовые бобы семена,41,10,38,6.0
15,Горох зерно,45,14,33,5.6
16,Гречиха зерно,37,20,48,5.1
17,Вико-овес зерно,43,15,31,5.4
18,Люпин семена,68,19,47,5.6
19,Люпин зеленая масса,6,2,5,5.6
20,Горчица семена,57,20,32,5.0
21,Горчица зеленая масса,4,1,5,5.0
22,Редька масличная семена ,50,20,32,5.5
23,Редька масличная зеленая масса,3,1,5,5.5
24,Картофель ранний клубни,5,2,8,5.5
25,Картофель поздний клубни,4,1,7,5.5
26,Свекла кормовая корнеплоды,3,1,7,5.8
27,Свекла сахарная корнеплоды,4,2,5,5.8
28,Свекла столовая корнеплоды,5,2,6,5.8
29,Морковь кормовая корнеплоды,3,1,5,5.5
30,Морковь столовая корнеплоды,3,1,4,5.5
31,Капуста кормовая кочаны,3,1,5,5.6
32,Капуста белокочанная ранняя кочаны,4,1,5,5.8
33,Капуста белокочанная средняя и поздняя кочаны,3,1,4,5.8
34,Капуста цветная кочаны,8,3,8,5.8
35,Огурец плоды открытый грунт,4,2,5,5.6
36,Лук острый на репку луковица,4,1,4,5.8
37,Лук острый на перо,3,1,2,5.8
38,Лук сладкий на репку луковица ,3,1,3,5.8
39,Чеснок головка,5,2,6,5.8
40,Кабачки патиссоны,4,2,5,5.5
41,Тыква,5,1,6,5.5
42,Редис корнеплоды,3,1,4,5.5
43,Плодовые деревья плоды,3,1,4,5.6
44,Косточковые деревья плоды,4,1,5,5.6
45,Ягодники ягоды,5,2,5,5.5
46,Однолет злаковые травы семена ,26,11,19,5.5
47,Однолет злаковые травы зеленая масса,3,2,5,5.5
48,Однолет злаковые травы сено,30,10,13,5.5
49,Однолет злак бобовые травы семена ,34,13,18,5.1
50,Однолет злак бобовые травы зеленая масса,5,1,4,5.1
51,Однолет злак бобовые травы сено,23,6,18,5.1
52,Однолет бобовые травы семена,58,19,33,6.0
53,Однолет бобовые травы зеленая масса,7,2,5,6.0
54,Однолет бобовые травы сено,23,6,18,6.0
55,Силосные культуры зеленая масса,5,2,3,5.8
56,Многолет злак травы семена,34,14,18,6.0
57,Многолет злак травы зеленая масса,5,2,4,6.0
58,Многолет злак травы сено,15,5,24,6.0
59,Многолет злак бобовые травы семена,34,14,18,6.0
60,Многолет злак бобовые травы зеленая масса,4,2,5,6.0
61,Многолет злак бобовые травы сено,18,6,20,6.0
62,Многолет бобовые травы семена,58,19,33,6.0
63,Многолет бобовые травы зеленая масса,4,2,5,6.0
64,Многолет бобовые травы сено,23,6,27,6.0
65,Сенокосы культурные сено,25,7,16,5.6
66,Пастбища культурные сено ,24,7,28,5.6
67,Сенокосы и пастбища культурные зеленая масса,4,2,5,5.6
68,Сенокосы естественные сено ,17,7,18,5.6
69,Пастбища естественные сено ,18,6,23,5.6
70,Сенокосы и пастбища естественная зеленая масса,3,1,5,5.6
